mask_name,target_bps,stop_bps,max_hold_ms,paired_delta_cost0,paired_delta_sum_cost0,paired_delta_avg_cost0,paired_delta_median_cost0,absolute_baseline_pnl_cost0,absolute_tsv2_pnl_cost0,paired_delta_cost50,paired_delta_sum_cost50,paired_delta_avg_cost50,paired_delta_median_cost50,absolute_baseline_pnl_cost50,absolute_tsv2_pnl_cost50,paired_delta_cost100,paired_delta_sum_cost100,paired_delta_avg_cost100,paired_delta_median_cost100,absolute_baseline_pnl_cost100,absolute_tsv2_pnl_cost100,paired_delta_cost150,paired_delta_sum_cost150,paired_delta_avg_cost150,paired_delta_median_cost150,absolute_baseline_pnl_cost150,absolute_tsv2_pnl_cost150,paired_delta_cost200,paired_delta_sum_cost200,paired_delta_avg_cost200,paired_delta_median_cost200,absolute_baseline_pnl_cost200,absolute_tsv2_pnl_cost200
M0_ALL,1500,-1000,120000,161705,161705,44.23003282275711,0.0,-664308,-502603,161705,161705,44.23003282275711,0.0,-847108,-685403,161705,161705,44.23003282275711,0.0,-1029908,-868203,161705,161705,44.23003282275711,0.0,-1212708,-1051003,161705,161705,44.23003282275711,0.0,-1395508,-1233803
M0_ALL,1500,-700,30000,20411,20411,5.582877461706784,0.0,-432610,-412199,20411,20411,5.582877461706784,0.0,-615410,-594999,20411,20411,5.582877461706784,0.0,-798210,-777799,20411,20411,5.582877461706784,0.0,-981010,-960599,20411,20411,5.582877461706784,0.0,-1163810,-1143399
M0_ALL,1500,-700,60000,44197,44197,12.088894967177243,0.0,-454067,-409870,44197,44197,12.088894967177243,0.0,-636867,-592670,44197,44197,12.088894967177243,0.0,-819667,-775470,44197,44197,12.088894967177243,0.0,-1002467,-958270,44197,44197,12.088894967177243,0.0,-1185267,-1141070
M0_ALL,1500,-700,120000,100855,100855,27.586159737417944,0.0,-509859,-409004,100855,100855,27.586159737417944,0.0,-692659,-591804,100855,100855,27.586159737417944,0.0,-875459,-774604,100855,100855,27.586159737417944,0.0,-1058259,-957404,100855,100855,27.586159737417944,0.0,-1241059,-1140204
M0_ALL,1500,-500,30000,6311,6311,1.726203501094092,0.0,-334140,-327829,6311,6311,1.726203501094092,0.0,-516940,-510629,6311,6311,1.726203501094092,0.0,-699740,-693429,6311,6311,1.726203501094092,0.0,-882540,-876229,6311,6311,1.726203501094092,0.0,-1065340,-1059029
M0_ALL,1500,-500,60000,19888,19888,5.439824945295404,0.0,-347571,-327683,19888,19888,5.439824945295404,0.0,-530371,-510483,19888,19888,5.439824945295404,0.0,-713171,-693283,19888,19888,5.439824945295404,0.0,-895971,-876083,19888,19888,5.439824945295404,0.0,-1078771,-1058883
M0_ALL,1500,-500,120000,62013,62013,16.961980306345733,0.0,-389696,-327683,62013,62013,16.961980306345733,0.0,-572496,-510483,62013,62013,16.961980306345733,0.0,-755296,-693283,62013,62013,16.961980306345733,0.0,-938096,-876083,62013,62013,16.961980306345733,0.0,-1120896,-1058883
M0_ALL,1500,-300,30000,-19916,-19916,-5.447483588621444,0.0,-214017,-233933,-19916,-19916,-5.447483588621444,0.0,-396817,-416733,-19916,-19916,-5.447483588621444,0.0,-579617,-599533,-19916,-19916,-5.447483588621444,0.0,-762417,-782333,-19916,-19916,-5.447483588621444,0.0,-945217,-965133
M0_ALL,1500,-300,60000,-16470,-16470,-4.50492341356674,0.0,-221025,-237495,-16470,-16470,-4.50492341356674,0.0,-403825,-420295,-16470,-16470,-4.50492341356674,0.0,-586625,-603095,-16470,-16470,-4.50492341356674,0.0,-769425,-785895,-16470,-16470,-4.50492341356674,0.0,-952225,-968695
M0_ALL,1500,-300,120000,3393,3393,0.9280634573304157,0.0,-240888,-237495,3393,3393,0.9280634573304157,0.0,-423688,-420295,3393,3393,0.9280634573304157,0.0,-606488,-603095,3393,3393,0.9280634573304157,0.0,-789288,-785895,3393,3393,0.9280634573304157,0.0,-972088,-968695
M0_ALL,1500,-200,30000,-39433,-39433,-10.785831509846828,0.0,-139295,-178728,-39433,-39433,-10.785831509846828,0.0,-322095,-361528,-39433,-39433,-10.785831509846828,0.0,-504895,-544328,-39433,-39433,-10.785831509846828,0.0,-687695,-727128,-39433,-39433,-10.785831509846828,0.0,-870495,-909928
M0_ALL,1500,-200,60000,-48505,-48505,-13.26723194748359,0.0,-133847,-182352,-48505,-48505,-13.26723194748359,0.0,-316647,-365152,-48505,-48505,-13.26723194748359,0.0,-499447,-547952,-48505,-48505,-13.26723194748359,0.0,-682247,-730752,-48505,-48505,-13.26723194748359,0.0,-865047,-913552
M0_ALL,1500,-200,120000,-43502,-43502,-11.898796498905908,0.0,-138850,-182352,-43502,-43502,-11.898796498905908,0.0,-321650,-365152,-43502,-43502,-11.898796498905908,0.0,-504450,-547952,-43502,-43502,-11.898796498905908,0.0,-687250,-730752,-43502,-43502,-11.898796498905908,0.0,-870050,-913552
M0_ALL,2000,-6000,30000,275490,275490,75.35284463894968,0.0,-1315991,-1040501,275490,275490,75.35284463894968,0.0,-1498791,-1223301,275490,275490,75.35284463894968,0.0,-1681591,-1406101,275490,275490,75.35284463894968,0.0,-1864391,-1588901,275490,275490,75.35284463894968,0.0,-2047191,-1771701
M0_ALL,2000,-6000,60000,475484,475484,130.05579868708972,0.0,-1508631,-1033147,475484,475484,130.05579868708972,0.0,-1691431,-1215947,475484,475484,130.05579868708972,0.0,-1874231,-1398747,475484,475484,130.05579868708972,0.0,-2057031,-1581547,475484,475484,130.05579868708972,0.0,-2239831,-1764347
M0_ALL,2000,-6000,120000,616802,616802,168.70951859956236,0.0,-1657547,-1040745,616802,616802,168.70951859956236,0.0,-1840347,-1223545,616802,616802,168.70951859956236,0.0,-2023147,-1406345,616802,616802,168.70951859956236,0.0,-2205947,-1589145,616802,616802,168.70951859956236,0.0,-2388747,-1771945
M0_ALL,2000,-5000,30000,248653,248653,68.01230853391685,0.0,-1248953,-1000300,248653,248653,68.01230853391685,0.0,-1431753,-1183100,248653,248653,68.01230853391685,0.0,-1614553,-1365900,248653,248653,68.01230853391685,0.0,-1797353,-1548700,248653,248653,68.01230853391685,0.0,-1980153,-1731500
M0_ALL,2000,-5000,60000,447534,447534,122.41083150984683,0.0,-1442687,-995153,447534,447534,122.41083150984683,0.0,-1625487,-1177953,447534,447534,122.41083150984683,0.0,-1808287,-1360753,447534,447534,122.41083150984683,0.0,-1991087,-1543553,447534,447534,122.41083150984683,0.0,-2173887,-1726353
M0_ALL,2000,-5000,120000,585507,585507,160.1496170678337,0.0,-1585271,-999764,585507,585507,160.1496170678337,0.0,-1768071,-1182564,585507,585507,160.1496170678337,0.0,-1950871,-1365364,585507,585507,160.1496170678337,0.0,-2133671,-1548164,585507,585507,160.1496170678337,0.0,-2316471,-1730964
M0_ALL,2000,-3000,30000,169664,169664,46.40700218818381,0.0,-1035535,-865871,169664,169664,46.40700218818381,0.0,-1218335,-1048671,169664,169664,46.40700218818381,0.0,-1401135,-1231471,169664,169664,46.40700218818381,0.0,-1583935,-1414271,169664,169664,46.40700218818381,0.0,-1766735,-1597071
M0_ALL,2000,-3000,60000,297788,297788,81.45185995623632,0.0,-1152357,-854569,297788,297788,81.45185995623632,0.0,-1335157,-1037369,297788,297788,81.45185995623632,0.0,-1517957,-1220169,297788,297788,81.45185995623632,0.0,-1700757,-1402969,297788,297788,81.45185995623632,0.0,-1883557,-1585769
M0_ALL,2000,-3000,120000,420562,420562,115.03336980306345,0.0,-1277022,-856460,420562,420562,115.03336980306345,0.0,-1459822,-1039260,420562,420562,115.03336980306345,0.0,-1642622,-1222060,420562,420562,115.03336980306345,0.0,-1825422,-1404860,420562,420562,115.03336980306345,0.0,-2008222,-1587660
M0_ALL,2000,-2000,30000,98000,98000,26.805251641137854,0.0,-811235,-713235,98000,98000,26.805251641137854,0.0,-994035,-896035,98000,98000,26.805251641137854,0.0,-1176835,-1078835,98000,98000,26.805251641137854,0.0,-1359635,-1261635,98000,98000,26.805251641137854,0.0,-1542435,-1444435
M0_ALL,2000,-2000,60000,197606,197606,54.04978118161926,0.0,-909382,-711776,197606,197606,54.04978118161926,0.0,-1092182,-894576,197606,197606,54.04978118161926,0.0,-1274982,-1077376,197606,197606,54.04978118161926,0.0,-1457782,-1260176,197606,197606,54.04978118161926,0.0,-1640582,-1442976
M0_ALL,2000,-2000,120000,291363,291363,79.69447483588621,0.0,-1002911,-711548,291363,291363,79.69447483588621,0.0,-1185711,-894348,291363,291363,79.69447483588621,0.0,-1368511,-1077148,291363,291363,79.69447483588621,0.0,-1551311,-1259948,291363,291363,79.69447483588621,0.0,-1734111,-1442748
M0_ALL,2000,-1500,30000,94166,94166,25.75656455142232,0.0,-707572,-613406,94166,94166,25.75656455142232,0.0,-890372,-796206,94166,94166,25.75656455142232,0.0,-1073172,-979006,94166,94166,25.75656455142232,0.0,-1255972,-1161806,94166,94166,25.75656455142232,0.0,-1438772,-1344606
M0_ALL,2000,-1500,60000,145439,145439,39.780908096280086,0.0,-752564,-607125,145439,145439,39.780908096280086,0.0,-935364,-789925,145439,145439,39.780908096280086,0.0,-1118164,-972725,145439,145439,39.780908096280086,0.0,-1300964,-1155525,145439,145439,39.780908096280086,0.0,-1483764,-1338325
M0_ALL,2000,-1500,120000,231670,231670,63.36706783369803,0.0,-838758,-607088,231670,231670,63.36706783369803,0.0,-1021558,-789888,231670,231670,63.36706783369803,0.0,-1204358,-972688,231670,231670,63.36706783369803,0.0,-1387158,-1155488,231670,231670,63.36706783369803,0.0,-1569958,-1338288
M0_ALL,2000,-1000,30000,45931,45931,12.563183807439826,0.0,-541676,-495745,45931,45931,12.563183807439826,0.0,-724476,-678545,45931,45931,12.563183807439826,0.0,-907276,-861345,45931,45931,12.563183807439826,0.0,-1090076,-1044145,45931,45931,12.563183807439826,0.0,-1272876,-1226945
M0_ALL,2000,-1000,60000,77051,77051,21.075218818380744,0.0,-567155,-490104,77051,77051,21.075218818380744,0.0,-749955,-672904,77051,77051,21.075218818380744,0.0,-932755,-855704,77051,77051,21.075218818380744,0.0,-1115555,-1038504,77051,77051,21.075218818380744,0.0,-1298355,-1221304
M0_ALL,2000,-1000,120000,141821,141821,38.79130196936543,0.0,-631888,-490067,141821,141821,38.79130196936543,0.0,-814688,-672867,141821,141821,38.79130196936543,0.0,-997488,-855667,141821,141821,38.79130196936543,0.0,-1180288,-1038467,141821,141821,38.79130196936543,0.0,-1363088,-1221267
M0_ALL,2000,-700,30000,13314,13314,3.6416849015317285,0.0,-411307,-397993,13314,13314,3.6416849015317285,0.0,-594107,-580793,13314,13314,3.6416849015317285,0.0,-776907,-763593,13314,13314,3.6416849015317285,0.0,-959707,-946393,13314,13314,3.6416849015317285,0.0,-1142507,-1129193
