mask_name,target_bps,stop_bps,max_hold_ms,paired_delta_cost0,paired_delta_sum_cost0,paired_delta_avg_cost0,paired_delta_median_cost0,absolute_baseline_pnl_cost0,absolute_tsv2_pnl_cost0,paired_delta_cost50,paired_delta_sum_cost50,paired_delta_avg_cost50,paired_delta_median_cost50,absolute_baseline_pnl_cost50,absolute_tsv2_pnl_cost50,paired_delta_cost100,paired_delta_sum_cost100,paired_delta_avg_cost100,paired_delta_median_cost100,absolute_baseline_pnl_cost100,absolute_tsv2_pnl_cost100,paired_delta_cost150,paired_delta_sum_cost150,paired_delta_avg_cost150,paired_delta_median_cost150,absolute_baseline_pnl_cost150,absolute_tsv2_pnl_cost150,paired_delta_cost200,paired_delta_sum_cost200,paired_delta_avg_cost200,paired_delta_median_cost200,absolute_baseline_pnl_cost200,absolute_tsv2_pnl_cost200
M0_ALL,2000,-1500,60000,-5078,-5078,-1.069502948609941,0.0,-716854,-721932,-5078,-5078,-1.069502948609941,0.0,-954254,-959332,-5078,-5078,-1.069502948609941,0.0,-1191654,-1196732,-5078,-5078,-1.069502948609941,0.0,-1429054,-1434132,-5078,-5078,-1.069502948609941,0.0,-1666454,-1671532
M0_ALL,2000,-1500,120000,83815,83815,17.652695871946083,0.0,-804448,-720633,83815,83815,17.652695871946083,0.0,-1041848,-958033,83815,83815,17.652695871946083,0.0,-1279248,-1195433,83815,83815,17.652695871946083,0.0,-1516648,-1432833,83815,83815,17.652695871946083,0.0,-1754048,-1670233
M0_ALL,2000,-1000,30000,-6795,-6795,-1.431128896377422,0.0,-562294,-569089,-6795,-6795,-1.431128896377422,0.0,-799694,-806489,-6795,-6795,-1.431128896377422,0.0,-1037094,-1043889,-6795,-6795,-1.431128896377422,0.0,-1274494,-1281289,-6795,-6795,-1.431128896377422,0.0,-1511894,-1518689
M0_ALL,2000,-1000,60000,-25715,-25715,-5.415964616680708,0.0,-541553,-567268,-25715,-25715,-5.415964616680708,0.0,-778953,-804668,-25715,-25715,-5.415964616680708,0.0,-1016353,-1042068,-25715,-25715,-5.415964616680708,0.0,-1253753,-1279468,-25715,-25715,-5.415964616680708,0.0,-1491153,-1516868
M0_ALL,2000,-1000,120000,43283,43283,9.116048862679023,0.0,-608390,-565107,43283,43283,9.116048862679023,0.0,-845790,-802507,43283,43283,9.116048862679023,0.0,-1083190,-1039907,43283,43283,9.116048862679023,0.0,-1320590,-1277307,43283,43283,9.116048862679023,0.0,-1557990,-1514707
M0_ALL,2000,-700,30000,-15217,-15217,-3.2049283909014323,0.0,-426847,-442064,-15217,-15217,-3.2049283909014323,0.0,-664247,-679464,-15217,-15217,-3.2049283909014323,0.0,-901647,-916864,-15217,-15217,-3.2049283909014323,0.0,-1139047,-1154264,-15217,-15217,-3.2049283909014323,0.0,-1376447,-1391664
M0_ALL,2000,-700,60000,-45207,-45207,-9.521272114574558,0.0,-398291,-443498,-45207,-45207,-9.521272114574558,0.0,-635691,-680898,-45207,-45207,-9.521272114574558,0.0,-873091,-918298,-45207,-45207,-9.521272114574558,0.0,-1110491,-1155698,-45207,-45207,-9.521272114574558,0.0,-1347891,-1393098
M0_ALL,2000,-700,120000,9524,9524,2.0058972198820557,0.0,-453022,-443498,9524,9524,2.0058972198820557,0.0,-690422,-680898,9524,9524,2.0058972198820557,0.0,-927822,-918298,9524,9524,2.0058972198820557,0.0,-1165222,-1155698,9524,9524,2.0058972198820557,0.0,-1402622,-1393098
M0_ALL,2000,-500,30000,-31165,-31165,-6.563816343723673,0.0,-298786,-329951,-31165,-31165,-6.563816343723673,0.0,-536186,-567351,-31165,-31165,-6.563816343723673,0.0,-773586,-804751,-31165,-31165,-6.563816343723673,0.0,-1010986,-1042151,-31165,-31165,-6.563816343723673,0.0,-1248386,-1279551
M0_ALL,2000,-500,60000,-77104,-77104,-16.239258635214828,0.0,-254893,-331997,-77104,-77104,-16.239258635214828,0.0,-492293,-569397,-77104,-77104,-16.239258635214828,0.0,-729693,-806797,-77104,-77104,-16.239258635214828,0.0,-967093,-1044197,-77104,-77104,-16.239258635214828,0.0,-1204493,-1281597
M0_ALL,2000,-500,120000,-36804,-36804,-7.751474304970514,0.0,-295193,-331997,-36804,-36804,-7.751474304970514,0.0,-532593,-569397,-36804,-36804,-7.751474304970514,0.0,-769993,-806797,-36804,-36804,-7.751474304970514,0.0,-1007393,-1044197,-36804,-36804,-7.751474304970514,0.0,-1244793,-1281597
M0_ALL,2000,-300,30000,-56969,-56969,-11.998525695029485,0.0,-157396,-214365,-56969,-56969,-11.998525695029485,0.0,-394796,-451765,-56969,-56969,-11.998525695029485,0.0,-632196,-689165,-56969,-56969,-11.998525695029485,0.0,-869596,-926565,-56969,-56969,-11.998525695029485,0.0,-1106996,-1163965
M0_ALL,2000,-300,60000,-111523,-111523,-23.488416175231677,0.0,-103489,-215012,-111523,-111523,-23.488416175231677,0.0,-340889,-452412,-111523,-111523,-23.488416175231677,0.0,-578289,-689812,-111523,-111523,-23.488416175231677,0.0,-815689,-927212,-111523,-111523,-23.488416175231677,0.0,-1053089,-1164612
M0_ALL,2000,-300,120000,-101122,-101122,-21.29780960404381,0.0,-113890,-215012,-101122,-101122,-21.29780960404381,0.0,-351290,-452412,-101122,-101122,-21.29780960404381,0.0,-588690,-689812,-101122,-101122,-21.29780960404381,0.0,-826090,-927212,-101122,-101122,-21.29780960404381,0.0,-1063490,-1164612
M0_ALL,2000,-200,30000,-67843,-67843,-14.288753159224937,0.0,-67837,-135680,-67843,-67843,-14.288753159224937,0.0,-305237,-373080,-67843,-67843,-14.288753159224937,0.0,-542637,-610480,-67843,-67843,-14.288753159224937,0.0,-780037,-847880,-67843,-67843,-14.288753159224937,0.0,-1017437,-1085280
M0_ALL,2000,-200,60000,-123627,-123627,-26.037700084245998,0.0,-12003,-135630,-123627,-123627,-26.037700084245998,0.0,-249403,-373030,-123627,-123627,-26.037700084245998,0.0,-486803,-610430,-123627,-123627,-26.037700084245998,0.0,-724203,-847830,-123627,-123627,-26.037700084245998,0.0,-961603,-1085230
M0_ALL,2000,-200,120000,-134618,-134618,-28.35256950294861,0.0,-1012,-135630,-134618,-134618,-28.35256950294861,0.0,-238412,-373030,-134618,-134618,-28.35256950294861,0.0,-475812,-610430,-134618,-134618,-28.35256950294861,0.0,-713212,-847830,-134618,-134618,-28.35256950294861,0.0,-950612,-1085230
M0_ALL,3000,-6000,30000,144208,144208,30.372367312552655,0.0,-1267341,-1123133,144208,144208,30.372367312552655,0.0,-1504741,-1360533,144208,144208,30.372367312552655,0.0,-1742141,-1597933,144208,144208,30.372367312552655,0.0,-1979541,-1835333,144208,144208,30.372367312552655,0.0,-2216941,-2072733
M0_ALL,3000,-6000,60000,303002,303002,63.8167649536647,0.0,-1429277,-1126275,303002,303002,63.8167649536647,0.0,-1666677,-1363675,303002,303002,63.8167649536647,0.0,-1904077,-1601075,303002,303002,63.8167649536647,0.0,-2141477,-1838475,303002,303002,63.8167649536647,0.0,-2378877,-2075875
