scope,anchor,guard_name,early_horizon_ms,anchor_target_cut_count,anchor_target_cut_damage_bps,guarded_target_cut_damage_bps,target_cut_damage_reduction_bps,target_cut_damage_reduction_rate,anchor_saved_stop_damage_bps,guarded_saved_stop_damage_bps,saved_stop_damage_retained_rate,anchor_timeout_improved_count,guarded_timeout_improved_count,timeout_improved_count_retained_rate,top5_target_cut_winner_count,top5_target_cut_winners_protected,top5_target_cut_winners_protected_rate,top10_target_cut_winner_count,top10_target_cut_winners_protected,top10_target_cut_winners_protected_rate
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G3_LOW_VOL_CONTINUATION,10000,26,253413,253413,0,0.0,254855,248703,0.9758607835828216,1083,1056,0.9750692520775623,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G3_LOW_VOL_CONTINUATION,20000,26,253413,253413,0,0.0,254855,248703,0.9758607835828216,1083,1060,0.9787626962142197,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G3_LOW_VOL_CONTINUATION,30000,26,253413,253413,0,0.0,254855,248703,0.9758607835828216,1083,1060,0.9787626962142197,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G3_LOW_VOL_CONTINUATION,45000,26,253413,253413,0,0.0,254855,248703,0.9758607835828216,1083,1060,0.9787626962142197,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G4_DELAYED_DECISION_4000,10000,26,253413,224803,28610,0.1128987068540288,254855,249449,0.978787938239391,1083,995,0.9187442289935365,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G4_DELAYED_DECISION_4000,20000,26,253413,224803,28610,0.1128987068540288,254855,249449,0.978787938239391,1083,995,0.9187442289935365,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G4_DELAYED_DECISION_4000,30000,26,253413,224803,28610,0.1128987068540288,254855,249449,0.978787938239391,1083,995,0.9187442289935365,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G4_DELAYED_DECISION_4000,45000,26,253413,224803,28610,0.1128987068540288,254855,249449,0.978787938239391,1083,995,0.9187442289935365,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G5_DELAYED_DECISION_8000,10000,26,253413,178414,74999,0.2959556139582421,254855,197512,0.7749975476251202,1083,928,0.8568790397045245,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G5_DELAYED_DECISION_8000,20000,26,253413,178414,74999,0.2959556139582421,254855,197512,0.7749975476251202,1083,928,0.8568790397045245,2,0,0.0,3,0,0.0
