scope,classifier,target_bps,stop_bps,max_hold_ms,roundtrip_cost_bps,retained_count,sum_pnl_after_cost_bps,avg_pnl_after_cost_bps,median_pnl_after_cost_bps,nonloss_count,precision,wilson_lower95,max_consecutive_losses
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-1000,30000,200,3633,-1228116,-338.0445912469034,-302.0,280,0.07707129094412331,0.0688385626971878,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-1000,40000,100,3633,-875487,-240.98183319570603,-202.0,303,0.08340214698596202,0.07484546711380093,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-1000,40000,200,3633,-1238787,-340.98183319570603,-302.0,291,0.08009909165978531,0.07170941075862874,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-300,20000,100,1409,-286285,-203.18310858765082,-202.0,37,0.0262597586941093,0.01911081089370025,197
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-300,20000,200,1409,-427185,-303.1831085876508,-302.0,34,0.0241305890702626,0.017318844360992906,197
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-300,30000,100,1409,-288837,-204.99432221433642,-202.0,37,0.0262597586941093,0.01911081089370025,197
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-300,30000,200,1409,-429737,-304.9943222143364,-302.0,34,0.0241305890702626,0.017318844360992906,197
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-300,40000,100,1409,-286682,-203.46486870120654,-202.0,41,0.029098651525904896,0.021521521811422688,197
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-300,40000,200,1409,-427582,-303.4648687012065,-302.0,40,0.028388928317955996,0.020916716605050376,197
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-500,20000,100,1409,-308247,-218.77004968062457,-202.0,38,0.0269694819020582,0.01971130879984496,197
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-500,20000,200,1409,-449147,-318.77004968062454,-302.0,35,0.0248403122782115,0.01791451509710688,197
