scope,row_type,entry_cohort,mask_name,target_bps,stop_bps,max_hold_ms,segment,evaluable,blocking_reason,retained_count,paired_delta_sum_bps,paired_delta_avg_bps,paired_delta_median_bps,exit_action_precision,wilson_lower95,target_cut_damage_ratio,target_cut_count,saved_stop_count,timeout_improved_count,max_consecutive_harmful_actions,segment_acceptance_pass,acceptance_failures
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M7_CLASS_RESTRICTED,10000,-6000,60000,train,True,,1583,52572,33.21036007580543,0.0,0.6319875776397516,0.5940603430078906,0.18623777008295309,9,24,383,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M7_CLASS_RESTRICTED,10000,-6000,60000,validation,True,,1583,20554,12.984207201516108,0.0,0.6459016393442623,0.607145053056266,0.22499549784481246,10,24,370,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M7_CLASS_RESTRICTED,10000,-6000,60000,holdout,True,,1582,-5613,-3.548040455120101,0.0,0.6865079365079365,0.6447246597391624,0.23019669352246047,7,16,330,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M7_CLASS_RESTRICTED,10000,-6000,120000,train,True,,1583,230808,145.80416929879974,0.0,0.7271540469973891,0.6945357561171067,0.18789002990464368,14,36,521,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M7_CLASS_RESTRICTED,10000,-6000,120000,validation,True,,1583,106895,67.52684775742262,0.0,0.7321668909825033,0.6991909629170948,0.2559615407917217,17,41,503,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M7_CLASS_RESTRICTED,10000,-6000,120000,holdout,True,,1582,117301,74.1472819216182,0.0,0.7610759493670886,0.7263161727808158,0.2810353452167441,14,28,453,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M4_CONFIRM_2_WINDOWS,10000,-6000,120000,train,True,,1583,254608,160.8389134554643,0.0,0.7262872628726287,0.6930096699118776,0.16026021507174168,13,35,501,4,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M4_CONFIRM_2_WINDOWS,10000,-6000,120000,validation,True,,1583,87842,55.490840176879345,0.0,0.725,0.6912556794647783,0.25707022612457026,17,36,486,3,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M4_CONFIRM_2_WINDOWS,10000,-6000,120000,holdout,True,,1582,100365,63.44184576485461,0.0,0.7577741407528642,0.7222606663716465,0.27819003430713196,14,28,435,2,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,entry_exit_intersection,S1_F5,M4_CONFIRM_2_WINDOWS,7500,-6000,60000,train,False,shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1:missing_gatekeeper_v2_decisions_jsonl,,,,,,,,,,,,False,shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1:missing_gatekeeper_v2_decisions_jsonl
