mask_name,target_bps,stop_bps,max_hold_ms,pass_r49,pass_r50,passing_both,absolute_profitable_both_cost100_200,r49_delta_sum_bps,r49_delta_avg_bps,r49_delta_median_bps,r49_action_precision,r49_wilson_lower,r49_target_cut_damage_ratio,r49_aggregate_target_cut_guard,r49_segment_target_cut_guard,r49_target_cut_count_guard,r49_public_row_verdict,r50_delta_sum_bps,r50_delta_avg_bps,r50_delta_median_bps,r50_action_precision,r50_wilson_lower,r50_target_cut_damage_ratio,r50_aggregate_target_cut_guard,r50_segment_target_cut_guard,r50_target_cut_count_guard,r50_public_row_verdict
M0_ALL,1500,-5000,60000,False,False,False,False,353622,74.47809604043807,0.0,0.6452217364147408,0.6214635044378165,0.4447008205010949,False,False,False,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,442479,121.02817286652079,0.0,0.6923076923076923,0.6671898256854591,0.33363232743175936,False,False,False,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-5000,120000,False,False,False,False,582747,122.73525695029485,0.0,0.710886075949367,0.6904979406778284,0.4582328005258538,False,False,False,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,585965,160.27489059080963,0.0,0.7373988799004356,0.71533603815368,0.37161663003368284,False,False,False,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-3000,30000,False,False,False,False,118139,24.8818449873631,0.0,0.6025293586269196,0.5733944084946463,0.411800847797629,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,172536,47.1925601750547,0.0,0.6526429341963322,0.6214195647168907,0.29194506686674304,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-3000,60000,False,False,False,False,198580,41.82392586352148,0.0,0.6430446194225722,0.6186587593051384,0.527409865399752,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,309533,84.66438730853392,0.0,0.6977466977466977,0.6720990948664874,0.37206008583690986,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-3000,120000,False,False,False,False,350287,73.7756950294861,0.0,0.7120253164556962,0.6912303791573586,0.5452566912447007,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,433221,118.49589715536105,0.0,0.7503250975292588,0.7280881079240696,0.40100317966889204,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-2000,30000,False,False,False,False,54991,11.581929233361416,0.0,0.6050338818973863,0.5748870723286854,0.4918935569833977,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,106237,29.058260393873084,0.0,0.6647662485746865,0.6328643231131951,0.349115836982546,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-2000,60000,False,False,False,False,90208,18.99915754001685,0.0,0.6466480446927374,0.6215278006878365,0.6147914898277703,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,215390,58.91411378555799,0.0,0.7118506493506493,0.6859330531754868,0.41422934372489595,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-2000,120000,False,False,False,False,188674,39.73757371524852,0.0,0.7162687395891172,0.695005403797804,0.634238230072141,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,312831,85.56646608315098,0.0,0.7635135135135135,0.741200046812976,0.44506597863033,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-1500,30000,False,False,False,False,29324,6.176074136478517,0.0,0.6112789526686808,0.5805867469417079,0.5254247097674736,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,100682,27.538840262582056,0.0,0.684964200477327,0.6527292716842739,0.35276903943229204,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-1500,60000,False,False,False,False,33858,7.131002527379949,0.0,0.6507936507936508,0.6253106800178462,0.680892874806291,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,160599,43.927516411378555,0.0,0.7222222222222222,0.6960672526099847,0.4465181179959011,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-1500,120000,False,False,False,False,120722,25.42586352148273,0.0,0.7233314318311466,0.7019189100823148,0.6806420483889564,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,249559,68.2601203501094,0.0,0.7752965806001396,0.7529664757014045,0.45607557486945777,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-1000,30000,False,False,False,False,16134,3.3980623420387532,0.0,0.6204620462046204,0.5884709655980104,0.5504924132368311,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,52603,14.388129102844639,0.0,0.6865284974093264,0.6529488789751602,0.4231158625826859,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-1000,60000,False,False,False,False,10844,2.2839090143218197,0.0,0.6622773044151821,0.6360317274924323,0.7021861361673407,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,89282,24.420678336980306,0.0,0.7286612758310872,0.7017851142223589,0.5135181834482534,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-1000,120000,False,False,False,False,76071,16.021693344566135,0.0,0.7354721549636803,0.71367381177819,0.6969565234973694,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,161705,44.23003282275711,0.0,0.7840825350036846,0.761404953977725,0.5017461041484153,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-700,30000,False,False,False,False,3463,0.7293597304128054,0.0,0.6339491916859122,0.6013392013979739,0.5628393757326311,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,20411,5.582877461706784,0.0,0.6846361185983828,0.6503242904008746,0.5171735632412245,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-700,60000,False,False,False,False,-13455,-2.8338247683235047,0.0,0.6773934030571199,0.650893364826775,0.7367717551622419,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,44197,12.088894967177243,0.0,0.7358139534883721,0.7086516535805084,0.5977153530558479,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-700,120000,False,False,False,False,40057,8.436604886267903,0.0,0.7492182614133833,0.7273920997367589,0.7335450083924574,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,100855,27.586159737417944,0.0,0.7922374429223744,0.7694648014185477,0.5770909725859962,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-500,30000,False,False,False,False,-13379,-2.8178180286436394,0.0,0.6450060168471721,0.611872676793846,0.6180844892147038,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,6311,1.726203501094092,0.0,0.70042194092827,0.6657478337779229,0.5741148512218834,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-500,60000,False,False,False,False,-45502,-9.583403538331929,0.0,0.685785536159601,0.6589978102246198,0.8371242873535588,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,19888,5.439824945295404,0.0,0.7514450867052023,0.7242589780425193,0.6559234655928595,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-500,120000,False,False,False,False,-5887,-1.2398904802021904,0.0,0.7575757575757576,0.7356285767144856,0.8181961195595175,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,62013,16.961980306345733,0.0,0.8042286609240408,0.7815668299271175,0.6312865741832876,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-300,30000,False,False,False,False,-39455,-8.309814658803706,0.0,0.6466753585397653,0.6121925603096674,0.8207340310426381,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,-19916,-5.447483588621444,0.0,0.711738484398217,0.6763917327646283,0.7716128550260861,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-300,60000,False,False,False,False,-82384,-17.351305812973884,0.0,0.6906666666666667,0.6630463368076241,1.0667219089580091,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,-16470,-4.50492341356674,0.0,0.7636363636363637,0.7361843594335872,0.8300732201748813,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-300,120000,False,False,False,False,-73265,-15.430707666385846,0.0,0.7691256830601093,0.7468525260351927,1.086133439372852,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,3393,0.9280634573304157,0.0,0.8140293637846656,0.7912810516928319,0.7933929432543764,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-200,30000,False,False,False,False,-52375,-11.030960404380792,0.0,0.6456582633053222,0.6098799134820748,1.0093367204436938,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,-39433,-10.785831509846828,0.0,0.7080062794348508,0.6715344596277767,1.0935315315315315,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-200,60000,False,False,False,False,-100895,-21.25,0.0,0.697565543071161,0.6693509994428987,1.34184835037623,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,-48505,-13.26723194748359,0.0,0.7600422832980972,0.7318115480785593,1.1281726705142783,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-200,120000,False,False,False,False,-113529,-23.910909856781803,0.0,0.7774607703281027,0.7549462458289402,1.4304647086486255,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,-43502,-11.898796498905908,0.0,0.8147833474936279,0.7915785337300767,1.1373372569223112,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,2000,-6000,30000,False,False,False,False,172855,36.405855096882895,0.0,0.6006546644844517,0.5729205679284063,0.35639969182326736,False,False,False,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,275490,75.35284463894968,0.0,0.656188605108055,0.6264728746390893,0.25224368718598483,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,2000,-6000,60000,False,False,False,False,368029,77.51242628475147,0.0,0.6458957459556621,0.622640754082318,0.4246388951078104,False,False,False,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,475484,130.05579868708972,0.0,0.6936744847192609,0.6690878568235326,0.33798397414315534,False,False,False,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
