rank,target_bps,stop_bps,max_hold_ms,roundtrip_cost_bps,eligible_count,avg_pnl_bps_after_cost,median_pnl_bps_after_cost,sum_pnl_bps_after_cost,profit_factor_after_cost,expected_pnl_sol_at_0_25_sol_after_cost,median_pnl_sol_at_0_25_sol_after_cost
6,7500,-100,40000,200,3600,-139.78805555555556,-300.0,-503237,0.502952238723416,-0.0034947013888888888,-0.0075
7,10000,-100,20000,0,3600,59.568888888888885,-100.0,214448,1.656712030084398,0.001489222222222222,-0.0025
7,10000,-100,20000,50,3600,9.568888888888889,-150.0,34448,1.0700906246057809,0.0002392222222222222,-0.00375
7,10000,-100,20000,100,3600,-40.431111111111115,-200.0,-145552,0.7785189964332234,-0.0010107777777777778,-0.005
7,10000,-100,20000,150,3600,-90.43111111111111,-250.0,-325552,0.6047226579764061,-0.002260777777777778,-0.00625
7,10000,-100,20000,200,3600,-140.4311111111111,-300.0,-505552,0.48962444058799715,-0.0035107777777777776,-0.0075
8,6000,-100,120000,0,3600,59.345,-100.0,213642,1.6214696496775451,0.001483625,-0.0025
8,6000,-100,120000,50,3600,9.345,-150.0,33642,1.0652137250834992,0.00023362500000000003,-0.00375
8,6000,-100,120000,100,3600,-40.655,-200.0,-146358,0.7873157915387264,-0.0010163750000000001,-0.005
8,6000,-100,120000,150,3600,-90.655,-250.0,-326358,0.6207697134490693,-0.002266375,-0.00625
8,6000,-100,120000,200,3600,-140.655,-300.0,-506358,0.5098792115989388,-0.003516375,-0.0075
9,7500,-100,90000,0,3600,59.20388888888889,-100.0,213134,1.620376299642562,0.0014800972222222223,-0.0025
9,7500,-100,90000,50,3600,9.203888888888889,-150.0,33134,1.06426000341334,0.00023009722222222222,-0.00375
9,7500,-100,90000,100,3600,-40.79611111111111,-200.0,-146866,0.7864975308516345,-0.0010199027777777778,-0.005
9,7500,-100,90000,150,3600,-90.79611111111112,-250.0,-326866,0.6200637438714521,-0.002269902777777778,-0.00625
9,7500,-100,90000,200,3600,-140.79611111111112,-300.0,-506866,0.5092630512931481,-0.003519902777777778,-0.0075
10,7500,-100,30000,0,3600,58.913333333333334,-100.0,212088,1.6387827202660088,0.0014728333333333334,-0.0025
10,7500,-100,30000,50,3600,8.913333333333334,-150.0,32088,1.0643051246903783,0.00022283333333333335,-0.00375
10,7500,-100,30000,100,3600,-41.086666666666666,-200.0,-147912,0.7780402196308174,-0.0010271666666666667,-0.005
10,7500,-100,30000,150,3600,-91.08666666666667,-250.0,-327912,0.6068531418226288,-0.002277166666666667,-0.00625
10,7500,-100,30000,200,3600,-141.08666666666667,-300.0,-507912,0.4931073610968343,-0.0035271666666666667,-0.0075
11,10000,-200,120000,0,3600,58.785555555555554,-200.0,211628,1.3747618204356296,0.0014696388888888888,-0.005
11,10000,-200,120000,50,3600,8.785555555555556,-250.0,31628,1.043079177807168,0.0002196388888888889,-0.00625
11,10000,-200,120000,100,3600,-41.214444444444446,-300.0,-148372,0.83587295231121,-0.0010303611111111112,-0.0075
11,10000,-200,120000,150,3600,-91.21444444444444,-350.0,-328372,0.6942600910221746,-0.002280361111111111,-0.00875
11,10000,-200,120000,200,3600,-141.21444444444444,-400.0,-508372,0.5914370650642574,-0.003530361111111111,-0.01
12,7500,-100,60000,0,3600,57.93361111111111,-100.0,208561,1.6139455882439522,0.0014483402777777778,-0.0025
12,7500,-100,60000,50,3600,7.933611111111111,-150.0,28561,1.0559988863356522,0.00019834027777777778,-0.00375
12,7500,-100,60000,100,3600,-42.06638888888889,-200.0,-151439,0.7774811297050841,-0.0010516597222222223,-0.005
12,7500,-100,60000,150,3600,-92.0663888888889,-250.0,-331439,0.6106992259534633,-0.0023016597222222223,-0.00625
12,7500,-100,60000,200,3600,-142.0663888888889,-300.0,-511439,0.49973541014362194,-0.0035516597222222225,-0.0075
13,6000,-100,90000,0,3600,57.38666666666666,-100.0,206592,1.6029137093761674,0.0014346666666666666,-0.0025
