policy,policy_kind,target_bps,stop_bps,max_hold_ms,input_count,eligible_count,excluded_count,target_count,stop_count,timeout_count,target_rate,stop_rate,timeout_rate,positive_timeout_count,negative_timeout_count,negative_timeout_rate,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,profit_factor,max_consecutive_losses
C4,candidate_ladder,1000,-200,15000,203,203,0,35,127,41,0.1724137931034483,0.625615763546798,0.2019704433497537,25,15,0.36585365853658536,91.10837438423646,-200.0,18495.0,1.6806889698575687,9
C4,candidate_ladder,1000,-300,15000,203,203,0,37,118,48,0.18226600985221675,0.5812807881773399,0.23645320197044334,25,22,0.4583333333333333,45.1576354679803,-300.0,9167.0,1.238110080781319,9
C4,candidate_ladder,1000,-500,15000,203,203,0,38,109,56,0.18719211822660098,0.5369458128078818,0.27586206896551724,26,29,0.5178571428571429,-55.73891625615764,-500.0,-11315.0,0.8118212509770659,9
C4,candidate_ladder,1000,-700,15000,203,203,0,38,99,66,0.18719211822660098,0.4876847290640394,0.3251231527093596,27,38,0.5757575757575758,-152.61083743842366,-621.0,-30980.0,0.6119642275608106,9
C4,candidate_ladder,1000,-1000,15000,203,203,0,40,81,82,0.19704433497536947,0.39901477832512317,0.4039408866995074,28,53,0.6463414634146342,-245.92610837438423,-449.0,-49923.0,0.5077986354852704,7
C4,candidate_ladder,1000,-1500,15000,203,203,0,42,55,106,0.20689655172413793,0.270935960591133,0.5221674876847291,29,76,0.7169811320754716,-368.6600985221675,-347.0,-74838.0,0.41826407350403433,6
C4,candidate_ladder,1000,-2000,15000,203,203,0,42,46,115,0.20689655172413793,0.22660098522167488,0.5665024630541872,30,84,0.7304347826086957,-465.88669950738915,-343.0,-94575.0,0.36462455239873964,6
C4,candidate_ladder,1000,-3000,15000,203,203,0,42,34,127,0.20689655172413793,0.16748768472906403,0.625615763546798,30,96,0.7559055118110236,-613.1871921182266,-330.0,-124477.0,0.303629070606598,6
C4,candidate_ladder,1000,-5000,15000,203,203,0,42,4,157,0.20689655172413793,0.019704433497536946,0.7733990147783252,30,126,0.802547770700637,-791.3399014778325,-330.0,-160642.0,0.25253587448119263,6
C4,candidate_ladder,1000,-6000,15000,203,203,0,42,0,161,0.20689655172413793,0.0,0.7931034482758621,30,130,0.8074534161490683,-800.2463054187192,-330.0,-162450.0,0.25042911721821304,6
C4,candidate_ladder,1500,-100,15000,203,203,0,24,147,32,0.11822660098522167,0.7241379310344828,0.15763546798029557,29,2,0.0625,183.2463054187192,-100.0,37199.0,3.509038176176986,10
C4,candidate_ladder,1500,-200,15000,203,203,0,25,130,48,0.12315270935960591,0.6403940886699507,0.23645320197044334,32,15,0.3125,133.8177339901478,-200.0,27165.0,1.9781786755968456,9
C4,candidate_ladder,1500,-300,15000,203,203,0,26,121,56,0.12807881773399016,0.5960591133004927,0.27586206896551724,33,22,0.39285714285714285,89.49753694581281,-300.0,18168.0,1.46112845503693,9
C4,candidate_ladder,1500,-500,15000,203,203,0,27,112,64,0.1330049261083744,0.5517241379310345,0.31527093596059114,34,29,0.453125,-11.891625615763546,-500.0,-2414.0,0.9608301286731896,9
C4,candidate_ladder,1500,-700,15000,203,203,0,27,102,74,0.1330049261083744,0.5024630541871922,0.3645320197044335,35,38,0.5135135135135135,-111.7192118226601,-700.0,-22679.0,0.7232175547365081,9
C4,candidate_ladder,1500,-1000,15000,203,203,0,29,82,92,0.14285714285714285,0.4039408866995074,0.45320197044334976,36,55,0.5978260869565217,-202.8768472906404,-513.0,-41184.0,0.6043423960034585,7
C4,candidate_ladder,1500,-1500,15000,203,203,0,31,55,117,0.15270935960591134,0.270935960591133,0.5763546798029556,37,79,0.6752136752136753,-322.5960591133005,-393.0,-65487.0,0.5027411614627627,7
C4,candidate_ladder,1500,-2000,15000,203,203,0,31,46,126,0.15270935960591134,0.22660098522167488,0.6206896551724138,38,87,0.6904761904761905,-419.8226600985222,-381.0,-85224.0,0.43894298184978175,7
C4,candidate_ladder,1500,-3000,15000,203,203,0,31,34,138,0.15270935960591134,0.16748768472906403,0.6798029556650246,38,99,0.717391304347826,-567.1231527093596,-371.0,-115126.0,0.3667471576063938,7
C4,candidate_ladder,1500,-5000,15000,203,203,0,31,4,168,0.15270935960591134,0.019704433497536946,0.8275862068965517,38,129,0.7678571428571429,-745.2758620689655,-371.0,-151291.0,0.30589633245552056,7
C4,candidate_ladder,1500,-6000,15000,203,203,0,31,0,172,0.15270935960591134,0.0,0.8472906403940886,38,133,0.7732558139534884,-754.1822660098522,-371.0,-153099.0,0.3033798356493489,7
C4,candidate_ladder,2000,-100,15000,203,203,0,19,148,36,0.09359605911330049,0.729064039408867,0.17733990147783252,33,2,0.05555555555555555,220.68965517241378,-100.0,44800.0,4.0014739380946,10
C4,candidate_ladder,2000,-200,15000,203,203,0,20,131,52,0.09852216748768473,0.645320197044335,0.2561576354679803,36,15,0.28846153846153844,173.23152709359607,-200.0,35166.0,2.257230703228344,9
C4,candidate_ladder,2000,-300,15000,203,203,0,21,122,60,0.10344827586206896,0.6009852216748769,0.2955665024630542,37,22,0.36666666666666664,130.88177339901478,-300.0,26569.0,1.669261190458198,9
C4,candidate_ladder,2000,-500,15000,203,203,0,22,113,68,0.10837438423645321,0.5566502463054187,0.33497536945812806,38,29,0.4264705882352941,30.970443349753694,-500.0,6287.0,1.101192679746978,9
C4,candidate_ladder,2000,-700,15000,203,203,0,22,103,78,0.10837438423645321,0.5073891625615764,0.3842364532019704,39,38,0.48717948717948717,-69.8423645320197,-700.0,-14178.0,0.8284324402817106,9
C4,candidate_ladder,2000,-1000,15000,203,203,0,23,82,98,0.11330049261083744,0.4039408866995074,0.4827586206896552,41,56,0.5714285714285714,-157.55665024630542,-532.0,-31984.0,0.6955122712819634,7
C4,candidate_ladder,2000,-1500,15000,203,203,0,24,55,124,0.11822660098522167,0.270935960591133,0.6108374384236454,43,80,0.6451612903225806,-276.33004926108373,-424.0,-56095.0,0.5771138652674748,7
C4,candidate_ladder,2000,-2000,15000,203,203,0,24,46,133,0.11822660098522167,0.22660098522167488,0.6551724137931034,44,88,0.6616541353383458,-373.5566502463054,-393.0,-75832.0,0.503882866320796,7
C4,candidate_ladder,2000,-3000,15000,203,203,0,24,34,145,0.11822660098522167,0.16748768472906403,0.7142857142857143,44,100,0.6896551724137931,-520.8571428571429,-381.0,-105734.0,0.4214376781776496,7
C4,candidate_ladder,2000,-5000,15000,203,203,0,24,4,175,0.11822660098522167,0.019704433497536946,0.8620689655172413,44,130,0.7428571428571429,-699.0098522167488,-381.0,-141899.0,0.35181666194648226,7
C4,candidate_ladder,2000,-6000,15000,203,203,0,24,0,179,0.11822660098522167,0.0,0.8817733990147784,44,134,0.7486033519553073,-707.9162561576354,-381.0,-143707.0,0.3489348785371909,7
