rank,tercile,stable,positive_sum_terciles,positive_avg_terciles,target_bps,stop_bps,max_hold_ms,eligible_count,excluded_count,target_count,stop_count,timeout_count,target_rate,stop_rate,timeout_rate,positive_timeout_count,negative_timeout_count,positive_timeout_rate,negative_timeout_rate,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,p10_pnl_bps,p25_pnl_bps,p75_pnl_bps,p90_pnl_bps,min_pnl_bps,max_pnl_bps,positive_result_count,negative_result_count,win_rate,loss_rate,profit_factor,expected_gross_pnl_sol_at_0_25_sol,median_gross_pnl_sol_at_0_25_sol
14,middle,True,3,3,6000,-100,30000,1200,0,7,1120,73,0.005833333333333334,0.9333333333333333,0.060833333333333336,60,13,0.821917808219178,0.1780821917808219,21.9275,-100.0,26313,-100.0,-100.0,-100.0,-100.0,-100,6000,67,1133,0.05583333333333333,0.9441666666666667,1.2330419533969232,0.0005481875,-0.0025
14,late,True,3,3,6000,-100,30000,1200,0,13,1086,101,0.010833333333333334,0.905,0.08416666666666667,90,11,0.8910891089108911,0.10891089108910891,74.92333333333333,-100.0,89908,-100.0,-100.0,-100.0,-100.0,-100,6000,103,1097,0.08583333333333333,0.9141666666666667,1.8227306002928259,0.0018730833333333334,-0.0025
15,early,True,3,3,7500,-100,120000,1200,0,21,1139,40,0.0175,0.9491666666666667,0.03333333333333333,36,4,0.9,0.1,79.59083333333334,-100.0,95509,-100.0,-100.0,-100.0,-100.0,-100,7500,57,1143,0.0475,0.9525,1.8366313650259725,0.0019897708333333334,-0.0025
15,middle,True,3,3,7500,-100,120000,1200,0,13,1162,25,0.010833333333333334,0.9683333333333334,0.020833333333333332,20,5,0.8,0.2,19.589166666666667,-100.0,23507,-100.0,-100.0,-100.0,-100.0,-100,7500,33,1167,0.0275,0.9725,1.2015674706956723,0.0004897291666666666,-0.0025
15,late,True,3,3,7500,-100,120000,1200,0,17,1141,42,0.014166666666666666,0.9508333333333333,0.035,39,3,0.9285714285714286,0.07142857142857142,70.8725,-100.0,85047,-100.0,-100.0,-100.0,-100.0,-100,7500,56,1144,0.04666666666666667,0.9533333333333334,1.7441398559791406,0.0017718125,-0.0025
16,early,True,3,3,6000,-100,40000,1200,0,20,1102,78,0.016666666666666666,0.9183333333333333,0.065,65,13,0.8333333333333334,0.16666666666666666,80.00416666666666,-100.0,96005,-100.0,-100.0,-100.0,-100.0,-100,6000,85,1115,0.07083333333333333,0.9291666666666667,1.8658147252985102,0.0020001041666666665,-0.0025
16,middle,True,3,3,6000,-100,40000,1200,0,10,1132,58,0.008333333333333333,0.9433333333333334,0.04833333333333333,45,13,0.7758620689655172,0.22413793103448276,22.549166666666668,-100.0,27059,-100.0,-100.0,-100.0,-100.0,-100,6000,55,1145,0.04583333333333333,0.9541666666666667,1.2371329167725595,0.0005637291666666667,-0.0025
16,late,True,3,3,6000,-100,40000,1200,0,16,1099,85,0.013333333333333334,0.9158333333333334,0.07083333333333333,76,9,0.8941176470588236,0.10588235294117647,66.31166666666667,-100.0,79574,-100.0,-100.0,-100.0,-100.0,-100,6000,92,1108,0.07666666666666666,0.9233333333333333,1.720739814865134,0.0016577916666666668,-0.0025
17,early,True,3,3,6000,-100,60000,1200,0,22,1115,63,0.018333333333333333,0.9291666666666667,0.0525,56,7,0.8888888888888888,0.1111111111111111,89.025,-100.0,106830,-100.0,-100.0,-100.0,-100.0,-100,6000,78,1122,0.065,0.935,1.954418754243648,0.002225625,-0.0025
17,middle,True,3,3,6000,-100,60000,1200,0,13,1147,40,0.010833333333333334,0.9558333333333333,0.03333333333333333,32,8,0.8,0.2,10.069166666666666,-100.0,12083,-100.0,-100.0,-100.0,-100.0,-100,6000,45,1155,0.0375,0.9625,1.1048189112990674,0.00025172916666666665,-0.0025
17,late,True,3,3,6000,-100,60000,1200,0,18,1117,65,0.015,0.9308333333333333,0.05416666666666667,61,4,0.9384615384615385,0.06153846153846154,68.005,-100.0,81606,-100.0,-100.0,-100.0,-100.0,-100,6000,79,1121,0.06583333333333333,0.9341666666666667,1.7292826566814716,0.0017001249999999998,-0.0025
18,early,True,3,3,10000,-200,90000,1200,0,12,654,534,0.01,0.545,0.445,74,460,0.13857677902621723,0.8614232209737828,80.13416666666667,-200.0,96161,-200.0,-200.0,-102.0,-102.0,-200,10000,86,1114,0.07166666666666667,0.9283333333333333,1.5293227205671884,0.0020033541666666667,-0.005
18,middle,True,3,3,10000,-200,90000,1200,0,12,705,483,0.01,0.5875,0.4025,50,433,0.10351966873706005,0.8964803312629399,21.2125,-200.0,25455,-200.0,-200.0,-102.0,-102.0,-200,10000,62,1138,0.051666666666666666,0.9483333333333334,1.1346298274749569,0.0005303125,-0.005
18,late,True,3,3,10000,-200,90000,1200,0,12,711,477,0.01,0.5925,0.3975,74,403,0.15513626834381553,0.8448637316561844,64.60083333333333,-200.0,77521,-200.0,-200.0,-102.0,-102.0,-200,10000,86,1114,0.07166666666666667,0.9283333333333333,1.4133196841493518,0.0016150208333333331,-0.005
19,early,True,3,3,10000,-100,15000,1200,0,2,1048,150,0.0016666666666666668,0.8733333333333333,0.125,111,29,0.74,0.19333333333333333,47.575,-100.0,57090,-100.0,-100.0,-100.0,0.0,-100,10000,113,1077,0.09416666666666666,0.8975,1.5367821279476475,0.0011893750000000001,-0.0025
19,middle,True,3,3,10000,-100,15000,1200,0,2,1072,126,0.0016666666666666668,0.8933333333333333,0.105,92,26,0.7301587301587301,0.20634920634920634,30.508333333333333,-100.0,36610,-100.0,-100.0,-100.0,-84.69999999999959,-100,10000,94,1098,0.07833333333333334,0.915,1.3358007026040377,0.0007627083333333333,-0.0025
19,late,True,3,3,10000,-100,15000,1200,0,3,1033,164,0.0025,0.8608333333333333,0.13666666666666666,136,22,0.8292682926829268,0.13414634146341464,85.22833333333334,-100.0,102274,-100.0,-100.0,-100.0,86.80000000000518,-100,10000,139,1055,0.11583333333333333,0.8791666666666667,1.9764466636751605,0.0021307083333333334,-0.0025
20,early,True,3,3,7500,-100,20000,1200,0,7,1068,125,0.005833333333333334,0.89,0.10416666666666667,100,25,0.8,0.2,62.49666666666667,-100.0,74996,-100.0,-100.0,-100.0,-49.19999999999891,-100,7500,107,1093,0.08916666666666667,0.9108333333333334,1.694323831390666,0.0015624166666666668,-0.0025
20,middle,True,3,3,7500,-100,20000,1200,0,5,1099,96,0.004166666666666667,0.9158333333333334,0.08,77,19,0.8020833333333334,0.19791666666666666,30.871666666666666,-100.0,37046,-100.0,-100.0,-100.0,-100.0,-100,7500,82,1118,0.06833333333333333,0.9316666666666666,1.3331414902609666,0.0007717916666666666,-0.0025
20,late,True,3,3,7500,-100,20000,1200,0,4,1062,134,0.0033333333333333335,0.885,0.11166666666666666,116,17,0.8656716417910447,0.12686567164179105,69.56416666666667,-100.0,83477,-100.0,-100.0,-100.0,0.20000000000027285,-100,7500,120,1079,0.1,0.8991666666666667,1.7784637191909207,0.0017391041666666666,-0.0025
